id,nome,ano,sinopse,genero
114,O Som da Morte,2026,"Um grupo de estudantes disfuncionais se depara com um Apito da Morte asteca amaldiçoado. Logo, eles descobrem que usar o objeto produz um som...",Terror
115,O Senhor dos Anéis: A Sociedade do Anel,2001,"Após herdar um anel de seu tio, o hobbit Frodo participa da missão de salvar a Terra-Média do perverso Sauron. Ele precisa conduzir o Um Anel até...",Aventura
116,À Espera de um Milagre,1999,"Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um...",Fantasia
117,Ted 2,2015,"O urso de pelúcia Ted casa-se com Tami-Lynn. O casal pretende ter um bebê, mas para terem direito à inseminação artificial, Ted tem que provar na...",Comédia
118,Entre Montanhas,2025,Dois agentes altamente treinados se aproximam à distância após serem enviados para proteger lados opostos de um desfiladeiro misterioso. Quando um...,Romance
119,O Escondido,1987,"Nas ruas de Los Angeles, um terrível assassino fã de rock pesado, carros velozes e armas enormes está deixando uma trilha de sangue inocente. A...",Ação
120,Chainsaw Man – O Filme: Arco da Reze,2025,"Denji trabalhava como Caçador de Demônios para a yakuza, tentando pagar a dívida que herdou de seus pais, até que um dia, ele é traído e morre. Em...",Animação
121,Drácula - Uma História de Amor Eterno,2025,"No século XV, o príncipe Vlad II perde o seu amor, a princesa Elisabeta. Tomado pela dor, rejeita a Deus e herda uma maldição eterna: vira o Conde...",Terror
122,Divertida Mente 2,2024,"""Divertida Mente 2"", da Disney e da Pixar, retorna à mente da adolescente Riley, e o faz no momento em que a sala de comando está passando por uma...",Animação
123,Clube da Luta,1999,Um homem deprimido que sofre de insônia conhece um estranho vendedor de sabonetes chamado Tyler Durden. Eles formam um clube clandestino com...,Drama
124,A Breed Apart,2025,"Violet, uma rebelde que procura cães abandonados em uma ilha remota, se encontra em uma situação angustiante, cheia de terror e caos movido a...",Terror
125,Kung Fu Panda 4,2024,"Po está prestes a se tornar o novo líder espiritual do Vale da Paz, mas antes que possa fazer isso, ele deve encontrar um sucessor para se tornar...",Ação
126,Titanic,1997,"Um artista pobre e uma jovem rica se conhecem e se apaixonam na fatídica jornada do Titanic, em 1912. Embora esteja noiva do arrogante herdeiro de...",Drama
